Table 1
,,,,
Player,Position,Nationality,,
"Casemiro",Midfielder,Brazil,,
"Matthew Cash",Defender,Poland,,
"Timothy Castagne",Defender,Belgium,,
"Edinson Cavani",Forward,Uruguay,,
"Cédric Soares",Defender,Portugal,,
"Kallum Cesay",Defender,Sierra Leone,,
"Trevoh Chalobah",Defender,England,,
"Calum Chambers",Defender,England,,
"Kgaogelo Chauke",Midfielder,England,,
"Daniel Chesters",Midfielder,England,,
"Ben Chilwell",Defender,England,,
"Chiquinho",Forward,Portugal,,
"Tahith Chong",Forward,Netherlands,,
"Hamza Choudhury",Midfielder,England,,
"Ben Chrisene",Defender,England,,
"Andreas Christensen",Defender,Denmark,,
"Christian Marques",Defender,Portugal,,
"Ryan Christie",Midfielder,Scotland,,
"Harry Christy",Goalkeeper,England,,
"Carney Chukwuemeka",Midfielder,England,,
"CJ Egan-Riley",Defender,England,,
"Bobby Clark",Midfielder,England,,
"Matt Clarke",Defender,England,,
"Leighton Clarkson",Midfielder,England,,
"Nathaniel Clyne",Defender,England,,
"Conor Coady",Defender,England,,
"Jack Colback",Midfielder,England,,
"Séamus Coleman",Defender,Ireland,,
"Nathan Collins",Defender,Ireland,,
"Levi Colwill",Midfielder,England,,
"Aaron Connolly",Forward,Ireland,,
"Lewis Cook",Midfielder,England,,
"Liam Cooper",Defender,Scotland,,
"Theo Corbeanu",Forward,Canada,,
"Maxwel Cornet",Forward,Cote D’Ivoire,,
"Vladimir Coufal",Defender,Czech Republic,,
"Conor Coventry",Midfielder,Ireland,,
"Brandon Cover",Midfielder,England,,
"Matthew Cox",Goalkeeper,England,,
"Michael Craig",Midfielder,Scotland,,
"Billy Crellin",Goalkeeper,England,,
"Aaron Cresswell", Defender, England,,
"Charlie Cresswell",Defender,England,,
"Cristiano Ronaldo",Forward,Portugal,,
"Marc Cucurella",Defender,Spain,,
"Luke Cundle",Midfielder,England,,
"Patrick Cutrone",Forward,Italy,,
"Patson Daka",Forward,Zambia,,
"Vontae Daley-Campbell",Defender,England,,
"Stuart Dallas",Defender,Northern Ireland,,
"Mikkel Damsgaard",Midfielder,Denmark,,
"Daniel Podence",Midfielder,Portugal,,
"Karl Darlow",Goalkeeper,England,,
"Josh Dasilva",Midfielder,England,,
"David Boateng",Defender,England,,
"Ben Davies", Defender, Wales,,
"Tom Davies",Midfielder,England,,
"Keinan Davis",Forward,England,,
"Craig Dawson",Defender,England,,
"Laurens De Bock",Defender,Belgium,,
"Lucas De Bolle",Midfielder,Scotland,,
"Kevin De Bruyne",Midfielder,Belgium,,
"Bobby Reid",Forward,Jamaica,,
"David de Gea",Goalkeeper,Spain,,
"Liam Delap",Forward,England,,
"Fabian Delph",Midfielder,England,,
"Siriki Dembélé",Midfielder,Scotland,,
"Lars Dendoncker",Defender,Belgium,,
"Leander Dendoncker", Midfielder, Belgium,,
"Will Dennis",Goalkeeper,England,,
"Halil Dervisoglu",Forward,Turkey,,
"Destiny Udogie",Defender,Italy,,
"Alfie Devine",Midfielder,England,,
"Kiernan Dewsbury-Hall",Midfielder,England,,
"Amad Diallo",Forward,Cote D’Ivoire,,
"Luis Díaz",Forward,Colombia,,
"Tyler Dibling",Forward,England,,
"Diego Carlos",Defender,Brazil,,
"Diego Rosa",Midfielder,Brazil,,
"Eric Dier",Defender,England,,
"Lucas Digne",Defender,France,,
"Diogo Dalot",Defender,Portugal,,
"Diogo Jota",Forward,Portugal,,
"Issa Diop",Defender,France,,
"Elijah Dixon-Bonner",Midfielder,England,,
"Moussa Djenepo",Midfielder,Mali,,
"Lewis Dobbin",Forward,England,,
"Matt Doherty",Defender,Ireland,,
"Abdoulaye Doucouré", Midfielder, Mali,,
"Cheick Oumar Doucouré",Midfielder,Mali,,
"Douglas Luiz",Midfielder,Brazil,,
"Flynn Downes",Midfielder,England,,
"Tommy Doyle",Midfielder,England,,
"Cody Drameh",Defender,England,,
"Martin Dúbravka",Goalkeeper,Slovakia,,
"Shane Duffy",Defender,Ireland,,
"Paul Dummett",Defender,Wales,,
"Lewis Dunk",Defender,England,,
"Malcolm Ebiowei",Midfielder,England,,
"Ederson",Goalkeeper,Brazil,,
"Odsonne Edouard",Forward,France,,
"Samuel Edozie",Forward,England,,
"Pierre Ekwah",Defender,France,,
"Anwar El Ghazi",Midfielder,Netherlands,,
"Anthony Elanga",Forward,Sweden,,
"Harvey Elliott",Midfielder,England,,
"Mohamed Elyounoussi",Midfielder,Norway,,
"Emerson",Defender,Italy,,
"Emerson Royal",Defender,Brazil,,
"Julio Enciso",Forward,Paraguay,,
"Christian Eriksen",Midfielder,Denmark,,
"Pervis Estupiñán",Defender,Ecuador,,
"Jonny Evans",Defender,Northern Ireland,,
"Oliver Ewing",Midfielder,Wales,,
"Eberechi Eze",Midfielder,England,,
"Lukasz Fabianski",Goalkeeper,Poland,,
"Fabinho",Midfielder,Brazil,,
"Fabio Carvalho",Midfielder,Portugal,,
"Fábio Silva",Forward,Portugal,,
"Fábio Vieira",Midfielder,Portugal,,
"Fabri",Goalkeeper,Spain,,
"Malachi Fagan-Walcott",Defender,England,,
"Josh Feeney",Midfielder,England,,
"Evan Ferguson",Forward,Ireland,,
"Álvaro Fernández",Defender,Spain,,
"Fernandinho",Midfielder,Brazil,,
"Junior Firpo",Defender,Spain,,
"William Fish",Defender,England,,
"Ethan Fitzhugh",Midfielder,England,,
"Marcelo Flores",Midfielder,Mexico,,
"Shane Flynn",Midfielder,Ireland,,
"Phil Foden",Midfielder,England,,
"Wesley Fofana",Defender,France,,
"Tyrese Fornah",Midfielder,England,,
"Pablo Fornals",Midfielder,Spain,,
"Adam Forshaw",Midfielder,England,,
"Marcus Forss",Forward,Finland,,
"Fraser Forster",Goalkeeper,England,,
"Marlon Fossey",Defender,United States,,
"Tariqe Fosu-Henry",Midfielder,Ghana,,
"Tyrese Francois",Midfielder,Australia,,
"Ryan Fraser",Midfielder,Scotland,,
"Melkamu Frauendorf",Midfielder,Germany,,
"Fred",Midfielder,Brazil,,
"Freddie Woodman",Goalkeeper,England,,
"Ryan Fredericks",Defender,England,,
"Remo Freuler",Midfielder,Switzerland,,
"James Furlong",Defender,Ireland,,
"Gabriel",Defender,Brazil,,
"Gabriel Jesus",Forward,Brazil,,
"Gabriel Martinelli",Midfielder,Brazil,,
"Conor Gallagher",Midfielder,England,,
"Alejandro Garnacho",Midfielder,Argentina,,
"James Garner",Midfielder,England,,
"Dwight Gayle",Forward,England,,
"Paulo Gazzaniga",Goalkeeper,Argentina,,
"Jean-Philippe Gbamin",Midfielder,Cote D’Ivoire,,
"Joe Gelhardt",Forward,England,,
"Saman Ghoddos",Forward,Iran,,
"Morgan Gibbs-White",Midfielder,England,,
"Lewis Gibson",Defender,England,,
"Tarik Gidaree",Defender,England,,
"Bryan Gil",Forward,Spain,,
"Ryan Giles",Midfielder,England,,
"Mark Gillespie",Goalkeeper,England,,
"Billy Gilmour",Midfielder,Scotland,,
"Ryan Glover",Midfielder,England,,
"Ben Godfrey",Defender,England,,
"Pierluigi Gollini",Goalkeeper,Italy,,
"Joseph Gomez",Defender,England,,
"Gonçalo Guedes",Forward,Portugal,,
"Charlie Goode",Defender,England,,
"Owen Goodman",Goalkeeper,England,,
"Anthony Gordon", Forward, England,,
"Lewis Gordon",Defender,Scotland,,
"Lewis Grabban",Forward,England,,
"Lee Grant",Goalkeeper,England,,
"Demarai Gray",Forward,England,,
"Jack Grealish",Midfielder,England,,
"Ben Greenwood",Defender,Ireland,,
"Harvey Griffiths",Midfielder,England,,
"Pascal Groß",Midfielder,Germany,,
"Vicente Guaita",Goalkeeper,Spain,,
"Marc Guehi",Defender,England,,
"Frédéric Guilbert",Defender,France,,
"Ilkay Gündogan",Midfielder,Germany,,
"Patrik Gunnarsson",Goalkeeper,Iceland,,
"Darko Gyabi",Midfielder,England,,
"Erling Haaland",Forward,Norway,,
"Lewis Hall",Midfielder,England,,
"Oliver Hammond",Midfielder,Wales,,
"Reece Hannam",Defender,England,,
"Isak Hansen-Aaröen",Midfielder,Norway,,
"Riley Harbottle",Defender,England,,
"Bjorn Hardley",Defender,Netherlands,,
"Luke Harris",Midfielder,Wales,,
"Jack Harrison",Midfielder,England,,
"Harvey Davies",Goalkeeper,England,,
"Taylor Harwood-Bellis",Defender,England,,
"Kortney Hause",Midfielder,England,,
"Kai Havertz",Midfielder,Germany,,
"Kaine Hayden",Defender,England,,
"Maxwell Haygarth",Midfielder,England,,
"Tom Heaton",Goalkeeper,England,,
"Michael Hector",Defender,Jamaica,,
"Karl Hein",Goalkeeper,Estonia,,
"Hélder Costa",Forward,Angola,,
