Table 1
,,,,,,,,,,,,,,,,,,
id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,
2381,Rodrigo,2,157,3,1.55203185975552,0,0.416053742170334,8,3,0,0,M,Leeds,3,1.55203185975552,0.892112411558628,0.109238177537918,
239,Pascal Groß,2,180,2,1.7351501584053,0,0.345925377681851,4,5,0,0,D M,Brighton,2,1.7351501584053,2.20796394348145,0.204982779920101,
773,Aleksandar Mitrovic,2,180,2,1.8153880238533,0,0.148225910961628,7,2,1,0,F,Fulham,1,0.293050318956375,0.348056890070438,0.0789021626114845,
5543,Gabriel Jesus,2,172,2,2.03757044672966,2,0.577289581298828,8,3,0,0,F,Arsenal,2,2.03757044672966,2.10300913453102,0.0656784195452929,
7752,Gabriel Martinelli,2,180,2,0.9254355058074,0,0.63531568646431,3,5,0,0,M,Arsenal,2,0.9254355058074,1.26160535216331,0.277316089719534,
8260,Erling Haaland,2,160,2,2.38753943145275,1,0.416822969913483,7,1,0,0,F,Manchester City,1,1.62637047469616,2.15000057220459,0.106807135045528,
10405,Josh Dasilva,2,96,2,0.0596206951886416,0,0,2,0,0,0,M S,Brentford,2,0.0596206951886416,0.0596206951886416,0,
76,Fabian Schär,2,180,1,0.0623560324311256,0,0.0495595932006836,2,1,1,0,D,Newcastle United,1,0.0623560324311256,0.606013238430023,0.606013238430023,
204,Granit Xhaka,2,180,1,0.616963922977448,1,0.136696312576532,2,3,1,0,M,Arsenal,1,0.616963922977448,0.860313609242439,0.127531236037612,
314,Ilkay Gündogan,2,151,1,0.591740682721138,0,0.236761495471001,4,5,0,0,M,Manchester City,1,0.591740682721138,1.12165421247482,0.50678438693285,
343,Pierre-Emile Højbjerg,2,180,1,0.0261014457792044,0,0.478972315788269,1,3,0,0,M,Tottenham,1,0.0261014457792044,1.07310003042221,0.568026319146156,
447,Kevin De Bruyne,2,180,1,0.302655316889286,2,1.09116670489311,6,8,0,0,M,Manchester City,1,0.302655316889286,2.01943922042847,1.11740812659264,
468,Callum Wilson,2,179,1,0.719353973865509,0,0.189242269843817,4,3,0,0,F,Newcastle United,1,0.719353973865509,0.930683936923742,0.0220876969397068,
522,Wilfried Zaha,2,180,1,1.16944304294884,0,0.462103452533484,5,3,0,0,F M,Crystal Palace,1,1.16944304294884,1.72066283226013,0.0891163498163223,
643,Eric Dier,2,180,1,0.0438014855608344,0,0,2,0,0,0,D,Tottenham,1,0.0438014855608344,0.52265764772892,0.52265764772892,
647,Harry Kane,2,180,1,0.97269432246685,0,0.863401710987091,5,5,0,0,F,Tottenham,1,0.97269432246685,1.34131222963333,0.260683655738831,
843,James Ward-Prowse,2,180,1,0.0920695401728153,0,0.12780749797821,3,3,0,0,M,Southampton,1,0.0920695401728153,0.177567113190889,0.0361866988241673,
885,Kyle Walker-Peters,2,180,1,0.309373170137405,0,0.0898563042283058,2,1,0,0,D,Southampton,1,0.309373170137405,0.492296777665615,0.0930673023685813,
986,Danny Ings,2,150,1,0.441446557641029,0,0.0153511418029666,5,1,2,0,F,Aston Villa,1,0.441446557641029,0.53350955247879,0.0767118409276009,
998,Ivan Toney,2,180,1,0.644004365429282,2,1.02218669652939,3,7,0,0,F,Brentford,1,0.644004365429282,1.0669224858284,0.0492584332823753,
1250,Mohamed Salah,2,180,1,0.928316861391068,0,0.985885828733444,5,9,0,0,F,Liverpool,1,0.928316861391068,2.0922623872757,0.775861091911793,
1376,Kalidou Koulibaly,2,174,1,0.180631011724472,0,0,4,0,0,0,D,Chelsea,1,0.180631011724472,0.814627133309841,0.795312903821468,
1389,Jorginho,2,166,1,0.809251226484776,0,0.192809544503689,2,3,0,0,M,Chelsea,0,0.0480823889374733,0.830237835645676,0.589345932006836,
1654,Ben Mee,2,150,1,0.561302781105042,0,0,1,0,0,0,D,Brentford,1,0.561302781105042,0.0492584332823753,0.0492584332823753,
2182,Jefferson Lerma,2,180,1,0.101869232952595,0,0,1,0,0,0,D,Bournemouth,1,0.101869232952595,0.0267488770186901,0.0267488770186901,
2203,Emiliano Buendía,2,68,1,1.0861941576004,0,0.179813550785184,2,4,0,0,S,Aston Villa,1,1.0861941576004,1.21772348880768,0.131529271602631,
6055,Phil Foden,2,140,1,0.505017936229706,1,0.605817638337612,2,4,0,0,F,Manchester City,1,0.505017936229706,1.61256504058838,0.528443019837141,
6157,Timothy Castagne,2,180,1,0.0558431744575501,0,0,1,0,0,0,D,Leicester,1,0.0558431744575501,0.257970757782459,0.257970757782459,
