Table 1
,,,,,,,,,,,,,,,,,,
id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,
2381,Rodrigo,3,242,4,2.25734893977642,1,1.34126392006874,13,4,0,0,F M,Leeds,4,2.25734893977642,2.4266609326005,0.109238177537918,
522,Wilfried Zaha,3,264,3,2.62188366241753,0,0.778996672481298,8,6,1,0,F M,Crystal Palace,3,1.86071482487023,2.59232890605927,0.776822999119759,
773,Aleksandar Mitrovic,3,270,3,3.37280029058456,0,0.148225910961628,15,2,1,0,F,Fulham,2,1.85046258568764,1.83813092857599,0.329681672155857,
8260,Erling Haaland,3,250,3,3.9049709290266,1,0.699717611074448,11,2,0,0,F,Manchester City,2,3.14380197227001,3.42427659034729,0.122283319942653,
239,Pascal Groß,3,270,2,1.7351501584053,1,0.756051199510694,4,7,0,0,D M,Brighton,2,1.7351501584053,2.61874115467072,0.258171405643225,
314,Ilkay Gündogan,3,241,2,1.07792131602764,0,0.405412256717682,7,9,0,0,M,Manchester City,2,1.07792131602764,1.81600099802017,0.648123405873776,
468,Callum Wilson,3,253,2,1.66821372509003,0,0.189242269843817,8,3,0,0,F,Newcastle United,2,1.66821372509003,1.4929374717176,0.139593798667192,
647,Harry Kane,3,270,2,1.87690071761608,0,0.991729170084,9,7,1,0,F,Tottenham,2,1.87690071761608,1.9202224612236,0.443675577640533,
998,Ivan Toney,3,270,2,1.37048896215856,2,1.07377650216222,5,8,0,0,F,Brentford,2,1.37048896215856,1.76138615608215,0.0833092331886292,
1250,Mohamed Salah,3,270,2,1.07877203822136,0,1.21759578585625,8,13,0,0,F,Liverpool,2,1.07877203822136,2.98218923807144,1.38164008408785,
2517,Martin Ødegaard,3,256,2,0.821806445717812,0,0.070892758667469,6,1,0,0,M,Arsenal,2,0.821806445717812,2.04117798805237,1.21875924617052,
5543,Gabriel Jesus,3,262,2,2.16526617109776,3,0.957196652889252,10,5,1,0,F,Arsenal,2,2.16526617109776,2.82874235510826,0.411504568532109,
6818,James Maddison,3,270,2,0.49485370516777,1,0.19347757473588,10,7,1,0,M,Leicester,2,0.49485370516777,0.570877991616726,0.172602973878384,
7700,Che Adams,2,120,2,0.804629325866699,0,0.0135605847463012,4,1,0,0,F S,Southampton,2,0.804629325866699,1.88951301574707,1.07132315635681,
7752,Gabriel Martinelli,3,257,2,1.45808353275061,0,0.63531568646431,7,5,0,0,M,Arsenal,2,1.45808353275061,1.79425337910652,0.533475812524557,
10405,Josh Dasilva,3,172,2,0.0596206951886416,0,0,2,0,1,0,M S,Brentford,2,0.0596206951886416,0.338259177282453,0.278638482093811,
76,Fabian Schär,3,270,1,0.0623560324311256,0,0.0495595932006836,2,1,2,0,D,Newcastle United,1,0.0623560324311256,0.796373695135117,0.796373695135117,
204,Granit Xhaka,3,270,1,0.616963922977448,2,0.248025920242071,2,5,1,0,M,Arsenal,1,0.616963922977448,1.27052347362041,0.537741100415587,
343,Pierre-Emile Højbjerg,3,270,1,0.054714597761631,0,0.478972315788269,2,3,1,0,M,Tottenham,1,0.054714597761631,1.50238510966301,0.968698248267174,
447,Kevin De Bruyne,3,270,1,0.669544585049152,3,2.34547874331474,9,12,0,0,M,Manchester City,1,0.669544585049152,2.76962232589722,1.22277848422527,
556,Marcus Rashford,3,267,1,1.33349022269249,0,0.152089348062873,10,3,1,0,F M,Manchester United,1,1.33349022269249,1.93166598677635,0.509079664945602,
643,Eric Dier,3,270,1,0.0438014855608344,0,0,2,0,0,0,D,Tottenham,1,0.0438014855608344,0.554957192391157,0.554957192391157,
652,Kieran Trippier,3,270,1,0.117596384137869,0,0.178833577781916,2,3,1,0,D,Newcastle United,1,0.117596384137869,0.302805066108704,0.302805066108704,
762,Demarai Gray,3,264,1,0.620756186544895,0,0.118383578956127,9,4,0,0,F M,Everton,1,0.620756186544895,0.808681473135948,0.156530275940895,
843,James Ward-Prowse,3,270,1,0.0920695401728153,1,0.863685488700867,3,7,0,0,M,Southampton,1,0.0920695401728153,0.572858739644289,0.431478325277567,
885,Kyle Walker-Peters,3,270,1,0.309373170137405,0,0.183990366756916,2,3,0,0,D,Southampton,1,0.309373170137405,0.981722466647625,0.488358928821981,
986,Danny Ings,3,172,1,0.521905682981014,0,0.0153511418029666,7,1,2,0,F S,Aston Villa,1,0.521905682981014,0.643416553735733,0.106159713119268,
1376,Kalidou Koulibaly,3,260,1,0.192305167205632,0,0,5,0,0,1,D,Chelsea,1,0.192305167205632,1.01503936201334,0.995725132524967,
1389,Jorginho,3,232,1,0.809251226484776,0,0.192809544503689,2,3,0,0,M,Chelsea,0,0.0480823889374733,0.857944775372744,0.617052871733904,
1654,Ben Mee,3,240,1,0.620168324559927,0,0,3,0,1,0,D,Brentford,1,0.620168324559927,0.416322372853756,0.376597963273525,
2182,Jefferson Lerma,3,270,1,0.116285493597388,0,0,2,0,0,0,D M,Bournemouth,1,0.116285493597388,0.0411651376634836,0.0267488770186901,
2203,Emiliano Buendía,3,143,1,1.17920356243849,0,0.179813550785184,3,4,0,0,F S,Aston Villa,1,1.17920356243849,1.31073289364576,0.131529271602631,
3635,Bernardo Silva,3,119,1,0.574781239032745,1,0.41159662604332,2,3,0,0,F S,Manchester City,1,0.574781239032745,1.39570731669664,0.409329451620579,
5735,Jean-Philippe Mateta,2,49,1,0.561596561223269,0,0.0895635187625885,3,1,0,0,S,Crystal Palace,1,0.561596561223269,1.08578556776047,0.434625528752804,
