"","player_name","goals_GW2","assists_GW2","xG_GW2","xA_GW2","goals_GW3","assists_GW3","xG_GW3","xA_GW3"
"76","David Raya",0,0,0,0,0,0,0,0
"77","Dean Henderson",0,0,0,0,0,0,0,0
"78","Declan Rice",0,0,0.821588393300772,0,0,0,0.844401383772492,0.0826915428042412
"79","Dejan Kulusevski",1,1,0.187367796897888,0.5757936835289,1,1,0.187367796897888,0.996206760406494
"80","Dele Alli",0,0,0,0,0,0,0,0
"81","Demarai Gray",0,0,0.187875218689442,0.0622844435274601,1,0,0.620756186544895,0.118383578956127
"82","Deniz Undav",0,0,0,0,0,0,0,0
"83","Dennis Praet",0,0,0,0,0,0,0,0
"84","Diego Carlos",0,0,0.73917998559773,0,0,0,0.73917998559773,0
"85","Diego Llorente",0,0,0.0372547283768654,0,0,0,0.0579668283462524,0
"86","Diogo Dalot",0,0,0.525678895413876,0.13048368319869,0,0,0.536480926908553,0.625306602567434
"87","Dominic Solanke",0,0,0.186297401785851,0,0,0,0.186297401785851,0
"88","Donny van de Beek",0,0,0,0,0,0,0,0
"89","Douglas Luiz",0,0,0.0260044131428003,0,0,0,0.0260044131428003,0.0707792937755585
"90","Dwight McNeil",0,0,0.142889857292175,0.0684387385845184,0,0,0.215952001512051,0.0684387385845184
"91","Eberechi Eze",0,1,0.383123695850372,0.433534145355225,0,1,0.631645768880844,0.934180438518524
"92","Eddie Nketiah",0,0,0.070892758667469,0.0960643664002419,0,0,0.336691685020924,0.176091574132442
"93","Ederson",0,0,0,0,0,0,0,0
"94","Edouard Mendy",0,0,0,0,0,0,0,0
"95","Emerson",0,1,0.166745752096176,0.214627668261528,0,1,0.288328170776367,0.214627668261528
"96","Emile Smith-Rowe",0,0,0,0.070735514163971,0,0,0.0800272077322006,0.336534440517426
"97","Emiliano Buendía",1,0,1.0861941576004,0.179813550785184,1,0,1.17920356243849,0.179813550785184
"98","Emiliano Martinez",0,0,0,0,0,0,0,0
"99","Enock Mwepu",0,0,0,0.13043025881052,0,0,0,0.13043025881052
"100","Eric Dier",1,0,0.0438014855608344,0,1,0,0.0438014855608344,0
"101","Erling Haaland",2,1,2.38753943145275,0.416822969913483,3,1,3.9049709290266,0.699717611074448
"102","Ezri Konsa Ngoyo",0,0,0,0,0,0,0.0259223468601704,0
"103","Fabian Schär",1,0,0.0623560324311256,0.0495595932006836,1,0,0.0623560324311256,0.0495595932006836
"104","Fabinho",0,0,0,0.0823690816760063,0,0,0.0777346789836884,0.0823690816760063
"105","Fabio Carvalho",0,0,0.141587659716606,0,0,0,0.323110193014145,0
"106","Flynn Downes",0,0,0,0,0,0,0,0
"107","Frank Onyeka",0,0,0,0,0,0,0,0
"108","Fred",0,0,0.0186694767326117,0,0,0,0.0186694767326117,0
"109","Gabriel",0,0,0.0571530908346176,0,0,0,0.109761163592339,0
"110","Gabriel Jesus",2,2,2.03757044672966,0.577289581298828,2,3,2.16526617109776,0.957196652889252
"111","Gabriel Martinelli",2,0,0.9254355058074,0.63531568646431,2,0,1.45808353275061,0.63531568646431
"112","Gavin Bazunu",0,0,0,0,0,0,0,0
"113","Gianluca Scamacca",0,0,0.0301559437066317,0,0,0,0.0301559437066317,0.0602626129984856
"114","Gonçalo Guedes",0,0,0,0,0,0,0.200086340308189,0.0925646796822548
"115","Granit Xhaka",1,1,0.616963922977448,0.136696312576532,1,2,0.616963922977448,0.248025920242071
"116","Halil Dervisoglu",0,0,0.0668923854827881,0,0,0,0.0668923854827881,0
"117","Harrison Reed",0,0,0.0789021626114845,0.139771789312363,0,0,0.249721102416515,0.139771789312363
"118","Harry Kane",1,0,0.97269432246685,0.863401710987091,2,0,1.87690071761608,0.991729170084
"119","Harry Maguire",0,0,0.0791661962866783,0.0183201842010021,0,0,0.0791661962866783,0.0183201842010021
"120","Harry Toffolo",0,0,0,0.176775455474854,0,0,0.0553718879818916,0.255426503717899
"121","Harvey Elliott",0,0,0.186103373765945,0.347297439351678,0,0,0.392743200063705,0.480831617489457
"122","Hee-Chan Hwang",0,1,0.183958023786545,0.52831357717514,0,1,0.201238060370088,0.52831357717514
"123","Hugo Lloris",0,0,0,0,0,0,0,0
"124","Ibrahima Diallo",0,0,0.0492231473326683,0,0,0,0.0492231473326683,0
"125","Ilkay Gündogan",1,0,0.591740682721138,0.236761495471001,2,0,1.07792131602764,0.405412256717682
"126","Illan Meslier",0,0,0,0,0,0,0,0
"127","Ivan Perisic",0,1,0,0.545099496841431,0,2,0,1.20144087076187
"128","Ivan Toney",1,2,0.644004365429282,1.02218669652939,2,2,1.37048896215856,1.07377650216222
"129","Jack Colback",0,0,0,0,0,0,0,0
"130","Jack Grealish",0,0,0.0606565177440643,0.72755666077137,0,0,0.0606565177440643,0.72755666077137
"131","Jack Harrison",0,2,0,1.20066291093826,1,3,0.983487010002136,1.29664169251919
"132","Jack Stacey",0,0,0,0,0,0,0,0
"133","Jack Stephens",0,0,0,0,0,0,0,0
"134","Jacob Murphy",0,0,0,0,0,0,0,0
"135","Jacob Ramsey",0,0,0.0588858798146248,0.214904576539993,0,0,0.0588858798146248,0.260501202195883
"136","Jadon Sancho",0,0,0,0.211353678256273,1,0,0.285772353410721,0.366393838077784
"137","Jamal Lowe",0,0,0,0,0,0,0,0
"138","James Justin",0,0,0,0.0380895547568798,0,0,0,0.0380895547568798
"139","James Maddison",1,1,0.391410157084465,0.172102272510529,2,1,0.49485370516777,0.19347757473588
"140","James Milner",0,1,0.0844196826219559,0.113243900239468,0,1,0.235772088170052,0.719022892415524
"141","James Tarkowski",0,0,0.130749128758907,0.287068054080009,0,0,0.130749128758907,0.287068054080009
"142","James Ward-Prowse",1,0,0.0920695401728153,0.12780749797821,1,1,0.0920695401728153,0.863685488700867
"143","Jamie Vardy",0,1,0,0.449764126911759,0,1,0.0213753022253513,0.449764126911759
"144","Jan Bednarek",0,0,0.054240494966507,0.0983120203018189,0,0,0.054240494966507,0.0983120203018189
"145","Jarrod Bowen",0,0,0.184416007250547,0,0,0,0.329651650041342,0.0773615166544914
"146","Jay Stansfield",0,0,0,0,0,0,0.173017024993896,0.0589650124311447
"147","Jean-Philippe Mateta",0,0,0.0621729381382465,0.0895635187625885,1,0,0.561596561223269,0.0895635187625885
"148","Jefferson Lerma",1,0,0.101869232952595,0,1,0,0.116285493597388,0
"149","Jeffrey Schlupp",0,0,0.1559928804636,0,0,0,0.494633689522743,0
"150","Jesse Lingard",0,0,0.206179231405258,0.103531135246158,0,0,0.206179231405258,0.120360871776938
"151","Joachim Andersen",0,0,0.452222377061844,0.393576204776764,0,0,0.452222377061844,0.475713863968849
"152","João Cancelo",0,0,0.0425357706844807,0.154906496405602,0,0,0.0785044245421886,0.154906496405602
"153","João Palhinha",0,0,0.126523524522781,0,1,0,0.157754592597485,0
"154","Joe Ayodele-Aribo",1,0,0.821739744395018,0,1,0,0.821739744395018,0
"155","Joe Gelhardt",0,0,0,0,0,0,0,0
"156","Joe Willock",0,0,0.249127566814423,0.0880419239401817,0,0,0.249127566814423,0.150802470743656
"157","Joe Worrall",0,0,0,0,0,0,0,0
"158","Joel Matip",0,0,0,0,0,0,0,0
"159","Joël Veltman",0,0,0.0545912086963654,0,0,0,0.0545912086963654,0
"160","Joel Ward",0,0,0,0,0,0,0,0
"161","Joelinton",0,1,0.241065308451653,0.305680710822344,0,1,0.241065308451653,0.506165269762278
"162","John McGinn",0,0,0.0980072915554047,0.655832946300507,0,0,0.0980072915554047,0.655832946300507
"163","John Stones",0,0,0,0,0,0,0,0
"164","Jonny",0,0,0.0314037539064884,0,0,0,0.0666670463979244,0
"165","Jonny Evans",0,0,0,0,0,0,0,0
"166","Jordan Ayew",0,0,0.0640330836176872,0.109228745102882,0,0,0.254997245967388,0.193144351243973
"167","Jordan Henderson",0,0,0.0393547341227531,0.573322402313352,0,0,0.0882578901946545,0.632109029218555
"168","Jordan Pickford",0,0,0,0,0,1,0,0.244440957903862
"169","Jordan Zemura",0,0,0,0.086740717291832,0,0,0,0.086740717291832
"170","Jorginho",1,0,0.809251226484776,0.192809544503689,1,0,0.809251226484776,0.192809544503689
"171","José Sá",0,0,0,0,0,0,0,0
"172","Joseph Gomez",0,0,0,0,0,0,0,0
"173","Josh Dasilva",2,0,0.0596206951886416,0,2,0,0.0596206951886416,0
"174","Julián Álvarez",0,0,0.0807130485773087,0,0,0,0.0807130485773087,0
"175","Junior Stanislas",0,0,0.0267488770186901,0,0,0,0.0267488770186901,0
"176","Kai Havertz",0,0,0.74414598941803,0.0663255676627159,0,0,0.74414598941803,0.139026366174221
"177","Kalidou Koulibaly",1,0,0.180631011724472,0,1,0,0.192305167205632,0
"178","Kalvin Phillips",0,0,0,0,0,0,0,0
"179","Kaoru Mitoma",0,0,0,0.522153317928314,0,0,0,0.522153317928314
"180","Keane Lewis-Potter",0,0,0,0,0,0,0.0487010292708874,0.0340507999062538
"181","Kelechi Iheanacho",0,1,0.0404197871685028,0.209021434187889,0,1,0.0404197871685028,0.209021434187889
"182","Kenny Tete",0,1,0,0.0871041566133499,0,1,0,0.0871041566133499
"183","Kevin De Bruyne",1,2,0.302655316889286,1.09116670489311,1,3,0.669544585049152,2.34547874331474
"184","Kevin Mbabu",0,0,0,0,0,1,0,0.559538125991821
"185","Kieffer Moore",1,0,0.0272380728274584,0.0420541763305664,1,0,0.0787658002227545,0.1142398416996
"186","Kieran Tierney",0,0,0,0,0,0,0,0
"187","Kieran Trippier",0,0,0.0519057996571064,0.178833577781916,1,0,0.117596384137869,0.178833577781916
"188","Kiernan Dewsbury-Hall",1,0,0.0478361491113901,0.0132362097501755,1,0,0.0478361491113901,0.0542723387479782
"189","Konstantinos Tsimikas",0,0,0.0194768775254488,0,0,0,0.0194768775254488,0
"190","Kurt Zouma",0,0,0.0637743920087814,0,0,0,0.195884183049202,0
"191","Kyle Walker",0,0,0,0.0226805992424488,0,0,0,0.0226805992424488
"192","Kyle Walker-Peters",1,0,0.309373170137405,0.0898563042283058,1,0,0.309373170137405,0.183990366756916
"193","Leander Dendoncker",0,0,0.523670256137848,0.0135872317478061,0,0,0.523670256137848,0.0287636276334524
"194","Leandro Trossard",0,0,0.185354448854923,0.160061299800873,1,0,0.720595456659794,0.243175320327282
"195","Leon Bailey",0,0,0.0767118409276009,0.439388263970614,0,1,0.12230846658349,0.809147644788027
"196","Levi Colwill",0,0,0,0,0,0,0,0
"197","Lewis Cook",0,0,0,0,0,0,0,0
"198","Lewis Dunk",0,0,0.023503141477704,0,0,0,0.023503141477704,0
"199","Lewis O'Brien",0,0,0.0164886992424727,0,0,0,0.0677453111857176,0.0925851985812187
"200","Lisandro Martínez",0,0,0.0772516876459122,0,0,0,0.0772516876459122,0
"201","Lloyd Kelly",0,1,0,0.0272380728274584,0,1,0,0.0484060682356358
"202","Lucas Digne",0,0,0.032672181725502,0.0887522026896477,0,0,0.14843063801527,0.128511648625135
"203","Lucas Moura",0,0,0,0,0,0,0,0
"204","Luis Díaz",1,0,0.416259601712227,0.00984079111367464,1,0,1.09231622517109,0.00984079111367464
"205","Luis Sinisterra",0,0,0,0,0,0,0,0
"206","Luka Milivojevic",0,0,0,0,0,0,0,0
"207","Lukasz Fabianski",0,0,0,0,0,0,0,0
"208","Luke Shaw",0,0,0.0567370615899563,0.166988968849182,0,0,0.0567370615899563,0.166988968849182
"209","Mads Bech Sørensen",0,0,0,0,0,0,0,0
"210","Mads Roerslev",0,0,0,0,0,0,0,0
"211","Malcolm Ebiowei",0,0,0,0,0,0,0,0
"212","Manor Solomon",0,0,0,0,0,0,0,0
"213","Manuel Lanzini",0,0,0.044208325445652,0,0,0,0.044208325445652,0
"214","Marc Cucurella",0,1,0.11313358694315,0.394889980554581,0,1,0.258596442639828,0.422596920281649
"215","Marc Guehi",0,0,0,0.0694723650813103,0,0,0.0451158732175827,0.374391756951809
"216","Marc Roca",0,0,0.0256666224449873,0.0786261614412069,0,0,0.0256666224449873,0.0786261614412069
"217","Marcos Senesi",0,0,0,0,0,0,0,0
"218","Marcus Rashford",0,0,0.489697247743607,0.152089348062873,1,0,1.33349022269249,0.152089348062873
"219","Marcus Tavernier",0,0,0,0.327278316020966,0,0,0.124223485589027,0.341694576665759
"220","Marek Rodák",0,0,0,0,0,0,0,0
"221","Mark Travers",0,0,0,0,0,0,0,0
"222","Martin Ødegaard",0,0,0.156684651970863,0.070892758667469,2,0,0.821806445717812,0.070892758667469
"223","Mason Holgate",0,0,0.278707534074783,0.0444297008216381,0,0,0.278707534074783,0.137920174747705
"224","Mason Mount",0,0,0.262234568595886,0.101747423410416,0,0,0.467847794294357,0.326247289776802
"225","Mateusz Klich",0,0,0,0.134039089083672,0,0,0,0.134039089083672
"226","Mathias Jensen",1,1,0.245567336678505,0.0740688275545836,1,2,0.245567336678505,0.384764267131686
"227","Matt Doherty",0,0,0,0,0,0,0,0
"228","Matt Targett",0,0,0,0.076643168926239,0,0,0,0.076643168926239
"229","Matthew Cash",0,0,0.0168405845761299,0,0,0,0.0307730883359909,0.119338437914848
"230","Max Kilman",0,0,0.0610519126057625,0,0,0,0.0740967756137252,0
"231","Maxwel Cornet",0,0,0,0,0,0,0,0
"232","Michael Olise",0,0,0,0.0631960332393646,0,0,0,0.0631960332393646
"233","Michail Antonio",0,0,0.335870198905468,0.0359510183334351,0,0,0.335870198905468,0.0804364681243897
"234","Miguel Almirón",0,0,0.105534993112087,0.265885591506958,1,0,1.02998515218496,0.393485501408577
"235","Mohamed Elyounoussi",0,0,0.0505475215613842,0,0,0,0.085465844720602,0
"236","Mohamed Salah",1,0,0.928316861391068,0.985885828733444,2,0,1.07877203822136,1.21759578585625
"237","Mohammed Salisu",0,0,0.0442898459732533,0.0452122204005718,0,0,0.121671017259359,0.0452122204005718
"238","Moisés Caicedo",0,0,0.0146229611709714,0.11883195117116,0,0,0.0300481440499425,0.11883195117116
"239","Morgan Gibbs-White",0,0,0.584597766399384,0.0881681144237518,0,0,0.584597766399384,0.0881681144237518
"240","Moussa Djenepo",0,1,0.08541289716959,0.0811503417789936,0,1,0.08541289716959,0.0811503417789936
"241","Moussa Niakhate",0,0,0.470789432525635,0,0,0,0.470789432525635,0
"242","N'Golo Kanté",0,0,0.0685983113944531,0.186219401657581,0,0,0.0685983113944531,0.186219401657581
"243","Nathan Aké",0,0,0.0970824705436826,0,0,0,0.0970824705436826,0
"244","Nathan Collins",0,0,0,0,0,0,0,0
"245","Nathan Patterson",0,0,0.0704291611909866,0,0,0,0.0704291611909866,0.103130578994751
"246","Nathan Redmond",0,0,0,0,0,0,0,0
"247","Nathaniel Clyne",0,0,0,0.0640330836176872,0,0,0,0.0640330836176872
"248","Nathaniel Phillips",0,0,0.0313891842961311,0,0,0,0.0313891842961311,0
"249","Neco Williams",0,0,0.708334259688854,0.567365549504757,0,0,0.837580017745495,0.64475280046463
"250","Neeskens Kebano",0,0,0.111113213002682,0.0789021626114845,0,0,0.111113213002682,0.0789021626114845
"251","Nélson Semedo",0,0,0,0,0,0,0.0213190093636513,0.0172800365835428
"252","Nick Pope",0,0,0,0,0,0,0,0
"253","Odsonne Edouard",0,0,0.516368508338928,0,0,1,0.724354460835457,0.0901011750102043
"254","Oleksandr Zinchenko",0,1,0.114458668977022,0.587520897388458,0,1,0.114458668977022,0.587520897388458
"255","Ollie Watkins",0,2,0.506384432315826,1.16104830987751,1,2,0.868299543857575,1.16104830987751
"256","Orel Mangala",0,0,0.0276955161243677,0,0,0,0.104169124737382,0.0349727720022202
"257","Oriol Romeu",0,0,0,0,0,0,0,0
"258","Pablo Fornals",0,0,0.0416500829160214,0.0855347849428654,0,0,0.0861355327069759,0.0855347849428654
"259","Pascal Groß",2,0,1.7351501584053,0.345925377681851,2,1,1.7351501584053,0.756051199510694
"260","Pascal Struijk",0,1,0.127580542117357,0.803935348987579,0,1,0.127580542117357,0.827846748754382
"261","Patrick Bamford",0,0,0.649488359689713,0,0,0,0.649488359689713,0
"262","Patson Daka",0,0,0.079534649848938,0,0,0,0.079534649848938,0
"263","Pedro Neto",0,0,0.100468561053276,0.437879510223866,0,0,0.116048337891698,0.512739308178425
"264","Phil Foden",1,1,0.505017936229706,0.605817638337612,1,1,0.602819554507732,0.713503643870354
"265","Philip Billing",0,0,0.0149493953213096,0.0267488770186901,0,0,0.0149493953213096,0.0267488770186901
"266","Philippe Coutinho",0,0,0.0579199455678463,0.0365831591188908,0,0,0.12515427544713,0.0365831591188908
"267","Pierre-Emile Højbjerg",1,0,0.0261014457792044,0.478972315788269,1,0,0.054714597761631,0.478972315788269
"268","Pontus Jansson",0,0,0,0,0,0,0,0
"269","Raheem Sterling",0,1,0.768836036324501,0.569633036851883,0,1,0.847844988107681,0.681549929082394
"270","Raphael Varane",0,0,0,0,0,0,0,0.0443237610161305
"271","Rasmus Kristensen",0,0,0.193484649062157,0,0,0,0.193484649062157,0.0577105954289436
