"","Player","Nationality","team_title","Position","goals","assists"
"104","Enock Mwepu","Zambia","Brighton","Midfielder",0,0
"105","Eric Dier","England","Tottenham","Defender",1,0
"106","Erling Haaland","Norway","Manchester City","Forward",3,1
"107","Ezri Konsa Ngoyo","England","Aston Villa","Defender",0,0
"108","Fabian Schär","Switzerland","Newcastle United","Defender",1,0
"109","Fabinho","Brazil","Liverpool","Midfielder",0,0
"110","Fabio Carvalho","Portugal","Liverpool","Midfielder",0,0
"111","Flynn Downes","England","West Ham","Midfielder",0,0
"112","Frank Onyeka","Nigeria","Brentford","Midfielder",0,0
"113","Fred","Brazil","Manchester United","Midfielder",0,0
"114","Gabriel","Brazil","Arsenal","Defender",0,0
"115","Gabriel Jesus","Brazil","Arsenal","Forward",2,3
"116","Gabriel Martinelli","Brazil","Arsenal","Midfielder",2,0
"117","Gavin Bazunu","Ireland","Southampton","Goalkeeper",0,0
"118","Gianluca Scamacca","Italy","West Ham","Forward",0,0
"119","Gonçalo Guedes","Portugal","Wolverhampton Wanderers","Forward",0,0
"120","Granit Xhaka","Switzerland","Arsenal","Midfielder",1,2
"121","Hakim Ziyech","Morocco","Chelsea","Midfielder",0,0
"122","Halil Dervisoglu","Turkey","Brentford","Forward",0,0
"123","Harrison Reed","England","Fulham","Midfielder",0,0
"124","Harry Kane","England","Tottenham","Forward",2,0
"125","Harry Maguire","England","Manchester United","Defender",0,0
"126","Harry Toffolo","England","Nottingham Forest","Defender",0,0
"127","Harvey Barnes","England","Leicester","Midfielder",0,0
"128","Harvey Elliott","England","Liverpool","Midfielder",0,0
"129","Hee-Chan Hwang","South Korea","Wolverhampton Wanderers","Forward",0,1
"130","Hugo Lloris","France","Tottenham","Goalkeeper",0,0
"131","Ilkay Gündogan","Germany","Manchester City","Midfielder",2,0
"132","Illan Meslier","France","Leeds","Goalkeeper",0,0
"133","Ivan Perisic","Croatia","Tottenham","Midfielder",0,2
"134","Ivan Toney","England","Brentford","Forward",2,2
"135","Jack Colback","England","Nottingham Forest","Midfielder",0,0
"136","Jack Grealish","England","Manchester City","Midfielder",0,0
"137","Jack Harrison","England","Leeds","Midfielder",1,3
"138","Jack Stacey","England","Bournemouth","Defender",0,0
"139","Jack Stephens","England","Southampton","Defender",0,0
"140","Jacob Murphy","England","Newcastle United","Midfielder",0,0
"141","Jacob Ramsey","England","Aston Villa","Midfielder",0,0
"142","Jadon Sancho","England","Manchester United","Forward",1,0
"143","Jaidon Anthony","England","Bournemouth","Forward",0,0
"144","Jamal Lowe","Jamaica","Bournemouth","Forward",0,0
"145","James Justin","England","Leicester","Defender",0,0
"146","James Maddison","England","Leicester","Midfielder",2,1
"147","James Milner","England","Liverpool","Midfielder",0,1
"148","James Tarkowski","England","Everton","Defender",0,0
"149","James Ward-Prowse","England","Southampton","Midfielder",1,1
"150","Jamie Vardy","England","Leicester","Forward",0,1
"151","Jan Bednarek","Poland","Southampton","Defender",0,0
"152","Jarrod Bowen","England","West Ham","Forward",0,0
"153","Jay Stansfield","England","Fulham","Forward",0,0
"154","Jean-Philippe Mateta","France","Crystal Palace","Forward",1,0
"155","Jefferson Lerma","Colombia","Bournemouth","Midfielder",1,0
